invoice_id,month,entity_id,billed_subscription_cents,credit_cents,net_invoice_cents,collected_cents,live_arr_cents,booked_arr_cents,implementation_dependent,cancellable
2023-06-AG-E0001,2023-06,AG-E0001,286230,0,286230,285371,3434760,3434760,0,0
2023-07-AG-E0001,2023-07,AG-E0001,286745,1720,285025,284169,3440940,3440940,0,0
2023-08-AG-E0001,2023-08,AG-E0001,287261,0,287261,286399,3447132,3447132,0,0
2023-09-AG-E0001,2023-09,AG-E0001,287778,0,287778,286914,3453336,3453336,0,0
2023-10-AG-E0001,2023-10,AG-E0001,288296,0,288296,287431,3459552,3459552,0,0
2023-11-AG-E0001,2023-11,AG-E0001,288815,0,288815,287948,3465780,3465780,0,0
2023-12-AG-E0001,2023-12,AG-E0001,289335,0,289335,288466,3472020,3472020,0,0
2024-01-AG-E0001,2024-01,AG-E0001,289856,0,289856,288986,3478272,3478272,0,0
2024-02-AG-E0001,2024-02,AG-E0001,290378,0,290378,289506,3484536,3484536,0,0
2024-03-AG-E0001,2024-03,AG-E0001,290901,0,290901,290028,3490812,3490812,0,0
2024-04-AG-E0001,2024-04,AG-E0001,291425,0,291425,290550,3497100,3497100,0,0
2024-05-AG-E0001,2024-05,AG-E0001,291950,0,291950,291074,3503400,3503400,0,0
2024-06-AG-E0001,2024-06,AG-E0001,301250,0,301250,300346,3615000,3615000,0,0
2024-07-AG-E0001,2024-07,AG-E0001,301792,0,301792,300886,3621504,3621504,0,0
2024-08-AG-E0001,2024-08,AG-E0001,302335,0,302335,301427,3628020,3628020,0,0
2024-09-AG-E0001,2024-09,AG-E0001,302879,0,302879,301970,3634548,3634548,0,0
2024-10-AG-E0001,2024-10,AG-E0001,303424,0,303424,302513,3641088,3641088,0,0
2024-11-AG-E0001,2024-11,AG-E0001,303970,0,303970,303058,3647640,3647640,0,0
2024-12-AG-E0001,2024-12,AG-E0001,304517,0,304517,303603,3654204,3654204,0,0
2025-01-AG-E0001,2025-01,AG-E0001,305065,0,305065,304149,3660780,3660780,0,0
2025-02-AG-E0001,2025-02,AG-E0001,305614,0,305614,304697,3667368,3667368,0,0
2025-03-AG-E0001,2025-03,AG-E0001,306164,0,306164,305245,3673968,3673968,0,0
2025-04-AG-E0001,2025-04,AG-E0001,306715,0,306715,305794,3680580,3680580,0,0
2025-05-AG-E0001,2025-05,AG-E0001,307267,0,307267,306345,3687204,3687204,0,0
2025-06-AG-E0001,2025-06,AG-E0001,317055,1902,315153,314207,3804660,3804660,0,0
2025-07-AG-E0001,2025-07,AG-E0001,317626,0,317626,316673,3811512,3811512,0,0
2025-08-AG-E0001,2025-08,AG-E0001,318198,0,318198,317243,3818376,3818376,0,0
2025-09-AG-E0001,2025-09,AG-E0001,318771,0,318771,317814,3825252,3825252,0,0
2025-10-AG-E0001,2025-10,AG-E0001,319345,0,319345,318386,3832140,3832140,0,0
2025-11-AG-E0001,2025-11,AG-E0001,319920,0,319920,318960,3839040,3839040,0,0
2025-12-AG-E0001,2025-12,AG-E0001,320496,0,320496,319534,3845952,3845952,0,0
2026-01-AG-E0001,2026-01,AG-E0001,321073,0,321073,320109,3852876,3852876,0,0
2026-02-AG-E0001,2026-02,AG-E0001,321651,0,321651,320686,3859812,3859812,0,0
2026-03-AG-E0001,2026-03,AG-E0001,322230,0,322230,321263,3866760,3866760,0,0
2026-04-AG-E0001,2026-04,AG-E0001,322810,0,322810,321841,3873720,3873720,0,0
2026-05-AG-E0001,2026-05,AG-E0001,323391,0,323391,322420,3880692,3880692,0,0
2026-06-AG-E0001,2026-06,AG-E0001,333692,0,333692,332690,4004304,4004304,0,0
2026-07-AG-E0001,2026-07,AG-E0001,334293,0,334293,333290,4011516,4011516,0,0
2023-03-AG-E0002,2023-03,AG-E0002,510307,0,510307,508776,6123684,6123684,0,0
2023-04-AG-E0002,2023-04,AG-E0002,511514,0,511514,509979,6138168,6138168,0,0
2023-05-AG-E0002,2023-05,AG-E0002,512724,0,512724,511185,6152688,6152688,0,0
2023-06-AG-E0002,2023-06,AG-E0002,513937,3083,510854,509321,6167244,6167244,0,0
2023-07-AG-E0002,2023-07,AG-E0002,515153,0,515153,513607,6181836,6181836,0,0
2023-08-AG-E0002,2023-08,AG-E0002,516372,0,516372,514822,6196464,6196464,0,0
2023-09-AG-E0002,2023-09,AG-E0002,517594,0,517594,516041,6211128,6211128,0,0
2023-10-AG-E0002,2023-10,AG-E0002,518819,0,518819,517262,6225828,6225828,0,0
2023-11-AG-E0002,2023-11,AG-E0002,520046,0,520046,518485,6240552,6240552,0,0
2023-12-AG-E0002,2023-12,AG-E0002,521276,0,521276,519712,6255312,6255312,0,0
