entity_id,parent_id,segment,start_month,contract_term_months,cancellation_for_convenience,base_mrr_cents
AG-E0001,AG-P066,Upper mid-market,2023-06,24,true,277394
AG-E0002,AG-P062,Upper mid-market,2023-03,36,false,494274
AG-E0003,AG-P002,Mid-market,2023-02,12,false,895549
AG-E0004,AG-P041,Mid-market,2021-11,24,false,471153
AG-E0005,AG-P093,Public sector,2022-07,36,false,313561
AG-E0006,AG-P030,Enterprise,2022-09,24,false,162487
AG-E0007,AG-P024,Upper mid-market,2022-05,24,false,388647
AG-E0008,AG-P133,Upper mid-market,2022-02,24,false,186128
AG-E0009,AG-P121,Public sector,2023-07,24,false,332437
AG-E0010,AG-P210,Mid-market,2023-07,12,false,427686
AG-E0011,AG-P028,Public sector,2021-10,24,false,235372
AG-E0012,AG-P134,Mid-market,2022-12,36,false,398818
AG-E0013,AG-P004,Upper mid-market,2023-08,24,false,214740
AG-E0014,AG-P184,Mid-market,2022-06,36,false,265123
AG-E0015,AG-P094,Mid-market,2021-10,36,false,177858
AG-E0016,AG-P169,Mid-market,2023-07,24,false,638905
AG-E0017,AG-P004,Upper mid-market,2022-03,36,false,600471
AG-E0018,AG-P086,Upper mid-market,2021-09,24,true,360369
AG-E0019,AG-P030,Mid-market,2023-04,24,false,386605
AG-E0020,AG-P053,Public sector,2022-04,12,false,367131
AG-E0021,AG-P044,Upper mid-market,2021-11,24,false,201236
AG-E0022,AG-P050,Public sector,2023-02,12,false,291044
AG-E0023,AG-P107,Public sector,2023-07,36,false,129481
AG-E0024,AG-P079,Mid-market,2021-08,24,false,263378
AG-E0025,AG-P061,Public sector,2021-10,24,false,397838
AG-E0026,AG-P008,Mid-market,2021-08,24,false,173676
AG-E0027,AG-P041,Upper mid-market,2023-01,24,false,305983
AG-E0028,AG-P004,Mid-market,2022-10,24,false,418873
AG-E0029,AG-P061,Enterprise,2022-05,24,false,212120
AG-E0030,AG-P113,Public sector,2021-10,24,false,137654
AG-E0031,AG-P033,Upper mid-market,2022-05,12,false,982759
AG-E0032,AG-P032,Upper mid-market,2021-11,24,false,337798
AG-E0033,AG-P205,Public sector,2023-07,12,false,165778
AG-E0034,AG-P045,Mid-market,2023-08,24,false,133883
AG-E0035,AG-P052,Upper mid-market,2021-08,24,true,692831
AG-E0036,AG-P080,Enterprise,2023-01,24,false,318845
AG-E0037,AG-P024,Upper mid-market,2023-08,12,false,211466
AG-E0038,AG-P016,Public sector,2023-05,24,false,381021
AG-E0039,AG-P180,Enterprise,2022-03,36,false,886833
AG-E0040,AG-P024,Mid-market,2022-04,24,false,379025
AG-E0041,AG-P020,Upper mid-market,2022-10,12,false,174221
AG-E0042,AG-P006,Public sector,2022-07,12,false,343865
AG-E0043,AG-P010,Public sector,2023-06,24,false,194681
AG-E0044,AG-P171,Mid-market,2021-12,24,false,148242
AG-E0045,AG-P040,Enterprise,2021-12,24,false,418079
AG-E0046,AG-P190,Public sector,2023-02,36,false,560636
AG-E0047,AG-P043,Mid-market,2021-09,12,false,683797
AG-E0048,AG-P041,Upper mid-market,2022-06,24,false,913819
AG-E0049,AG-P080,Mid-market,2022-10,24,false,89783
