month,entity_id,parent_id,segment,active,mrr_cents,usage_units,support_tickets,credit_cents
2023-06,AG-E0001,AG-P066,Upper mid-market,1,286230,129,3,0
2023-07,AG-E0001,AG-P066,Upper mid-market,1,286745,125,2,1720
2023-08,AG-E0001,AG-P066,Upper mid-market,1,287261,131,3,0
2023-09,AG-E0001,AG-P066,Upper mid-market,1,287778,137,3,0
2023-10,AG-E0001,AG-P066,Upper mid-market,1,288296,129,3,0
2023-11,AG-E0001,AG-P066,Upper mid-market,1,288815,131,4,0
2023-12,AG-E0001,AG-P066,Upper mid-market,1,289335,130,2,0
2024-01,AG-E0001,AG-P066,Upper mid-market,1,289856,135,7,0
2024-02,AG-E0001,AG-P066,Upper mid-market,1,290378,135,3,0
2024-03,AG-E0001,AG-P066,Upper mid-market,1,290901,129,5,0
2024-04,AG-E0001,AG-P066,Upper mid-market,1,291425,136,5,0
2024-05,AG-E0001,AG-P066,Upper mid-market,1,291950,133,1,0
2024-06,AG-E0001,AG-P066,Upper mid-market,1,301250,143,6,0
2024-07,AG-E0001,AG-P066,Upper mid-market,1,301792,139,3,0
2024-08,AG-E0001,AG-P066,Upper mid-market,1,302335,132,2,0
2024-09,AG-E0001,AG-P066,Upper mid-market,1,302879,141,8,0
2024-10,AG-E0001,AG-P066,Upper mid-market,1,303424,135,1,0
2024-11,AG-E0001,AG-P066,Upper mid-market,1,303970,145,2,0
2024-12,AG-E0001,AG-P066,Upper mid-market,1,304517,141,5,0
2025-01,AG-E0001,AG-P066,Upper mid-market,1,305065,144,1,0
2025-02,AG-E0001,AG-P066,Upper mid-market,1,305614,134,4,0
2025-03,AG-E0001,AG-P066,Upper mid-market,1,306164,134,3,0
2025-04,AG-E0001,AG-P066,Upper mid-market,1,306715,149,5,0
2025-05,AG-E0001,AG-P066,Upper mid-market,1,307267,139,1,0
2025-06,AG-E0001,AG-P066,Upper mid-market,1,317055,136,5,1902
2025-07,AG-E0001,AG-P066,Upper mid-market,1,317626,138,2,0
2025-08,AG-E0001,AG-P066,Upper mid-market,1,318198,147,1,0
2025-09,AG-E0001,AG-P066,Upper mid-market,1,318771,148,1,0
2025-10,AG-E0001,AG-P066,Upper mid-market,1,319345,154,3,0
2025-11,AG-E0001,AG-P066,Upper mid-market,1,319920,145,4,0
2025-12,AG-E0001,AG-P066,Upper mid-market,1,320496,146,5,0
2026-01,AG-E0001,AG-P066,Upper mid-market,1,321073,143,3,0
2026-02,AG-E0001,AG-P066,Upper mid-market,1,321651,142,3,0
2026-03,AG-E0001,AG-P066,Upper mid-market,1,322230,147,3,0
2026-04,AG-E0001,AG-P066,Upper mid-market,1,322810,154,4,0
2026-05,AG-E0001,AG-P066,Upper mid-market,1,323391,136,2,0
2026-06,AG-E0001,AG-P066,Upper mid-market,1,333692,156,1,0
2026-07,AG-E0001,AG-P066,Upper mid-market,1,334293,156,5,0
2023-03,AG-E0002,AG-P062,Upper mid-market,1,510307,225,1,0
2023-04,AG-E0002,AG-P062,Upper mid-market,1,511514,239,0,0
2023-05,AG-E0002,AG-P062,Upper mid-market,1,512724,231,3,0
2023-06,AG-E0002,AG-P062,Upper mid-market,1,513937,238,3,3083
2023-07,AG-E0002,AG-P062,Upper mid-market,1,515153,247,0,0
2023-08,AG-E0002,AG-P062,Upper mid-market,1,516372,236,1,0
2023-09,AG-E0002,AG-P062,Upper mid-market,1,517594,240,4,0
2023-10,AG-E0002,AG-P062,Upper mid-market,1,518819,223,3,0
2023-11,AG-E0002,AG-P062,Upper mid-market,1,520046,234,2,0
2023-12,AG-E0002,AG-P062,Upper mid-market,1,521276,243,0,0
2024-01,AG-E0002,AG-P062,Upper mid-market,1,522509,239,3,0
2024-02,AG-E0002,AG-P062,Upper mid-market,1,523745,239,1,0
2024-03,AG-E0002,AG-P062,Upper mid-market,1,540734,266,1,0
2024-04,AG-E0002,AG-P062,Upper mid-market,1,542013,248,3,0
2024-05,AG-E0002,AG-P062,Upper mid-market,1,543295,234,4,0
2024-06,AG-E0002,AG-P062,Upper mid-market,1,544580,247,3,0
2024-07,AG-E0002,AG-P062,Upper mid-market,1,545868,252,4,0
