year,scenario,revenue_cents,normalized_ebitda_cents
1,management,9814847546,3025723363
1,base,9232610827,2707742137
1,downside,8567197434,2298409615
2,management,11581520104,3917799172
2,base,10248198018,3159316742
2,downside,8824213357,2279119770
3,management,13666193723,5032988835
3,base,11375499800,3677474081
3,downside,9088939758,2256603965
4,management,16126108593,6422710083
4,base,12626804778,4271398302
4,downside,9361607950,2230686004
5,management,19028808140,8149662142
5,base,14015753304,4951488415
5,downside,9642456189,2201182023
