month,subscription_revenue_cents,services_revenue_cents,credits_cents,recognized_revenue_cents,reported_cogs_cents,customer_success_cents,fully_burdened_cogs_cents,opex_cents,reported_ebitda_cents,normalized_ebitda_cents
2021-08,26662029,1999652,13080,28648601,5345736,2239610,7585346,232327253,-209024388,-211263998
2021-09,47488304,3561622,14660,51035266,9521404,3989017,13510421,231607588,-190093726,-194082743
2021-10,76626206,5746965,9544,82363627,15363553,6436601,21800154,220741768,-153741694,-160178295
2021-11,101242523,7593189,26774,108808938,20299124,8504371,28803495,221325155,-132815341,-141319712
2021-12,124930160,9369762,38111,134261811,25048496,10494133,35542629,238552038,-129338723,-139832856
2022-01,155077891,11630841,17429,166691303,31093116,13026542,44119658,227236423,-91638236,-104664778
2022-02,183304897,13747867,55003,196997761,36752631,15397611,52150242,213985964,-53740834,-69138445
2022-03,212235246,15917643,60530,228092359,42553165,17827760,60380925,230224971,-44685777,-62513537
2022-04,234144849,17560863,65706,251640006,46946041,19668167,66614208,238906335,-34212370,-53880537
2022-05,262894067,19717055,63885,282547237,52710259,22083101,74793360,234929710,-5092732,-27175833
2022-06,293759062,22031929,82818,315708173,58898690,24675761,83574451,254557924,2251559,-22424202
2022-07,316894069,23767055,89842,340571282,63537260,26619101,90156361,240608499,36425523,9806422
2022-08,343362081,25752156,75153,369039084,68844096,28842414,97686510,248042332,52152656,23310242
2022-09,369293614,27697021,108954,396881681,74043369,31020663,105064032,244417099,78421213,47400550
2022-10,399869372,29990202,107999,429751575,80173807,33589027,113762834,239458123,110119645,76530618
2022-11,419210443,31440783,107839,450543387,84051693,35213677,119265370,255854956,110636738,75423061
2022-12,439006754,32925506,119587,471812673,88020853,36876567,124897420,243027254,140764566,103887999
2023-01,463110748,34733306,103600,497740454,92853704,38901302,131755006,260957177,143929573,105028271
2023-02,485852155,36438911,144916,522146150,97413356,40811581,138224937,246897347,177835447,137023866
2023-03,506304695,37972852,147100,544130447,101514090,42529594,144043684,265553343,177063014,134533420
2023-04,526381123,39478584,149489,565710218,105539414,44216014,149755428,258226588,201944216,157728202
2023-05,552718094,41453857,160568,594011383,110819977,46428319,157248296,267374548,215816858,169388539
2023-06,571754451,42881583,173238,614462796,114636766,48027373,162664139,258548986,241277044,193249671
2023-07,591449211,44358690,153037,635654864,118585565,49681733,168267298,255860280,261209019,211527286
2023-08,625652521,46923939,164431,672412029,125443329,52554811,177998140,257099377,289869323,237314512
2023-09,626015098,46951132,157298,672808932,125516026,52585268,178101294,252212596,295080310,242495042
2023-10,627065538,47029915,151572,673943881,125726640,52673505,178400145,249627995,298589246,245915741
2023-11,624930252,46869768,148245,671651775,125298514,52494141,177792655,280948533,265404728,212910587
2023-12,625548913,46916168,155362,672309719,125422556,52546108,177968664,248273493,298613670,246067562
2024-01,626259847,46969488,156918,673072417,125565098,52605827,178170925,268045008,279462311,226856484
2024-02,625770584,46932793,170029,672533348,125467000,52564729,178031729,244918699,302147649,249582920
2024-03,627375729,47053179,149476,674279432,125788832,52699561,178488393,264806111,283684489,230984928
2024-04,627389739,47054230,163118,674280851,125791642,52700738,178492380,259592755,288896454,236195716
2024-05,630022807,47251710,168369,677106148,126319572,52921915,179241487,275662962,275123614,222201699
2024-06,630434169,47282562,161149,677555582,126402049,52956470,179358519,285050565,266102968,213146498
2024-07,629712789,47228459,160004,676781244,126257413,52895874,179153287,252684299,297839532,244943658
2024-08,632738710,47455403,174337,680019776,126864110,53150051,180014161,266351958,286803708,233653657
2024-09,632291695,47421877,169035,679544537,126774483,53112502,179886985,287926179,264843875,211731373
2024-10,632958410,47471880,167058,680263232,126908160,53168506,180076666,294468366,258886706,205718200
2024-11,634297678,47572325,180101,681689902,127176683,53281004,180457687,263811682,290701537,237420533
2024-12,634651174,47598838,135680,682114332,127247560,53310698,180558258,274200505,280666267,227355569
2025-01,636995014,47774626,172705,684596935,127717500,53507581,181225081,299633368,257246067,203738486
2025-02,638764994,47907374,187088,686485280,128072380,53656259,181728639,297244144,261168756,207512497
2025-03,639757317,47981798,159720,687579395,128271340,53739614,182010954,287915645,271392410,217652796
2025-04,638562480,47892186,175947,686278719,128031776,53639248,181671024,285134633,273112310,219473062
2025-05,639187033,47939027,206678,686919382,128156998,53691710,181848708,282767224,275995160,222303450
2025-06,636696203,47752215,154762,684293656,127657588,53482481,181140069,293825668,262810400,209327919
2025-07,635761215,47682091,166191,683277115,127470123,53403942,180874065,288431737,267375255,213971313
2025-08,638636390,58754547,156823,697234114,136080640,53645456,189726096,290398241,270755233,217109777
2025-09,639900657,58870860,163573,698607944,136350031,53751655,190101686,295819517,266438396,212686741
2025-10,640530791,58928832,146602,699313021,136484299,53804586,190288885,290723897,272104825,218300239
2025-11,640902373,58963018,162141,699703250,136563477,53835799,190399276,279187458,283952315,230116516
2025-12,640256954,58903639,168087,698992506,136425950,53781584,190207534,291007097,271559459,217777875
2026-01,640669569,58941600,176023,699435146,136513871,53816243,190330114,310397957,252523318,198707075
2026-02,642382451,59099185,158926,701322710,136878851,53960125,190838976,298640730,265803129,211843004
2026-03,644550969,59298689,162760,703686898,137340919,54142281,191483200,297674398,268671581,214529300
2026-04,643793315,59228984,168298,702854001,137179478,54078638,191258116,287283522,278391001,224312363
2026-05,639590043,58842283,156300,698276026,136283845,53725563,190009408,310467555,251524626,197799063
2026-06,639218287,58808082,161664,697864705,136204631,53694336,189898967,305806482,255853592,202159256
2026-07,634909123,58411639,181811,693138951,135286434,53332366,188618800,316633291,241219226,187886860
