account_id,observed_at,treatment,risk_score,realized_increase_pct,renewed
AG-R0001,2026-07-15T00:00:00Z,1,-0.071599,8.144703,1
AG-R0002,2026-07-15T00:00:00Z,0,-1.597465,2.886131,1
AG-R0003,2026-07-15T00:00:00Z,0,-1.033023,0.000000,1
AG-R0004,2026-07-15T00:00:00Z,0,-0.642238,2.180264,1
AG-R0005,2026-07-15T00:00:00Z,0,-0.959894,1.385759,1
AG-R0006,2026-07-15T00:00:00Z,1,0.737679,6.556138,1
AG-R0007,2026-07-15T00:00:00Z,0,-0.428056,0.000000,1
AG-R0008,2026-07-15T00:00:00Z,0,-0.708140,1.297810,1
AG-R0009,2026-07-15T00:00:00Z,1,0.191532,6.457453,1
AG-R0010,2026-07-15T00:00:00Z,1,0.571847,6.738472,1
AG-R0011,2026-07-15T00:00:00Z,1,0.102324,10.130782,1
AG-R0012,2026-07-15T00:00:00Z,0,0.356647,1.206079,1
AG-R0013,2026-07-15T00:00:00Z,1,1.319152,5.149246,0
AG-R0014,2026-07-15T00:00:00Z,1,2.072263,4.297247,1
AG-R0015,2026-07-15T00:00:00Z,0,0.112578,0.000000,1
AG-R0016,2026-07-15T00:00:00Z,1,-0.356228,8.135374,1
AG-R0017,2026-07-15T00:00:00Z,0,-0.861633,1.170845,1
AG-R0018,2026-07-15T00:00:00Z,0,0.949877,0.000000,1
AG-R0019,2026-07-15T00:00:00Z,0,1.764472,0.000000,1
AG-R0020,2026-07-15T00:00:00Z,1,-0.469300,9.553811,1
AG-R0021,2026-07-15T00:00:00Z,0,-0.020203,0.549405,1
AG-R0022,2026-07-15T00:00:00Z,1,-0.072763,8.744786,1
AG-R0023,2026-07-15T00:00:00Z,0,0.063736,0.000000,1
AG-R0024,2026-07-15T00:00:00Z,0,0.237339,0.000000,1
AG-R0025,2026-07-15T00:00:00Z,0,0.575575,0.000000,1
AG-R0026,2026-07-15T00:00:00Z,1,1.598926,4.748254,1
AG-R0027,2026-07-15T00:00:00Z,1,0.230982,7.648480,1
AG-R0028,2026-07-15T00:00:00Z,1,-0.018031,8.601095,1
AG-R0029,2026-07-15T00:00:00Z,0,-1.000030,1.470234,1
AG-R0030,2026-07-15T00:00:00Z,0,-0.993814,3.412894,1
AG-R0031,2026-07-15T00:00:00Z,0,-1.631122,4.668322,1
AG-R0032,2026-07-15T00:00:00Z,1,0.123682,8.106482,1
AG-R0033,2026-07-15T00:00:00Z,1,-0.203279,7.077290,1
AG-R0034,2026-07-15T00:00:00Z,0,1.439811,0.000000,1
AG-R0035,2026-07-15T00:00:00Z,1,-0.383690,9.066875,1
AG-R0036,2026-07-15T00:00:00Z,0,-1.008321,1.359578,1
AG-R0037,2026-07-15T00:00:00Z,0,1.833334,0.000000,0
AG-R0038,2026-07-15T00:00:00Z,0,1.109590,0.000000,1
AG-R0039,2026-07-15T00:00:00Z,0,2.395996,0.000000,1
AG-R0040,2026-07-15T00:00:00Z,1,0.317108,8.437459,0
AG-R0041,2026-07-15T00:00:00Z,1,0.954728,4.838764,1
AG-R0042,2026-07-15T00:00:00Z,0,-0.910653,1.094114,1
AG-R0043,2026-07-15T00:00:00Z,0,-0.181120,0.627425,1
AG-R0044,2026-07-15T00:00:00Z,0,0.020627,0.000000,1
AG-R0045,2026-07-15T00:00:00Z,0,0.764950,0.000000,1
AG-R0046,2026-07-15T00:00:00Z,0,-1.059301,1.552101,1
AG-R0047,2026-07-15T00:00:00Z,0,-0.072296,0.811627,1
AG-R0048,2026-07-15T00:00:00Z,1,1.632950,6.013317,1
AG-R0049,2026-07-15T00:00:00Z,0,-0.330395,1.038957,1
AG-R0050,2026-07-15T00:00:00Z,0,-0.222251,1.917826,1
AG-R0051,2026-07-15T00:00:00Z,1,-1.461602,9.617057,0
AG-R0052,2026-07-15T00:00:00Z,1,0.832526,5.881695,1
AG-R0053,2026-07-15T00:00:00Z,0,-0.271503,0.000000,1
AG-R0054,2026-07-15T00:00:00Z,1,-0.167330,8.287693,1
AG-R0055,2026-07-15T00:00:00Z,1,-0.064349,8.675017,1
