pod_id,period,treated,post,resolution_hours,gross_churn_bps
AG-S01,-12,1,0,23.939996,93.848850
AG-S01,-11,1,0,22.221517,85.882490
AG-S01,-10,1,0,23.520029,94.496458
AG-S01,-9,1,0,23.339305,97.841579
AG-S01,-8,1,0,23.698664,95.698970
AG-S01,-7,1,0,22.471926,91.986992
AG-S01,-6,1,0,23.352511,91.064596
AG-S01,-5,1,0,23.573370,92.668633
AG-S01,-4,1,0,23.354969,95.841591
AG-S01,-3,1,0,23.624539,96.489707
AG-S01,-2,1,0,24.065439,101.112219
AG-S01,-1,1,0,23.365746,96.305305
AG-S01,0,1,1,18.628987,74.493112
AG-S01,1,1,1,19.369105,68.837814
AG-S01,2,1,1,18.728194,65.953561
AG-S01,3,1,1,19.003387,67.880922
AG-S01,4,1,1,19.852743,71.831249
AG-S01,5,1,1,19.502769,84.067007
AG-S01,6,1,1,20.014892,87.651958
AG-S01,7,1,1,18.225017,80.165541
AG-S01,8,1,1,19.222812,75.070125
AG-S01,9,1,1,18.924504,77.728719
AG-S01,10,1,1,19.537502,67.992001
AG-S01,11,1,1,18.820204,78.825629
AG-S02,-12,0,0,23.590652,91.894439
AG-S02,-11,0,0,22.996042,92.039602
AG-S02,-10,0,0,22.990588,89.173167
AG-S02,-9,0,0,21.947372,94.606009
AG-S02,-8,0,0,23.327182,95.806940
AG-S02,-7,0,0,23.115689,87.717056
AG-S02,-6,0,0,23.359319,90.327680
AG-S02,-5,0,0,24.165501,92.169447
AG-S02,-4,0,0,22.145742,93.615646
AG-S02,-3,0,0,22.357130,86.396314
AG-S02,-2,0,0,25.023127,86.727134
AG-S02,-1,0,0,24.290408,91.121155
AG-S02,0,0,1,22.781688,90.204656
AG-S02,1,0,1,22.688574,82.456066
AG-S02,2,0,1,22.862659,92.560931
AG-S02,3,0,1,22.790634,88.217757
AG-S02,4,0,1,23.854599,92.005941
AG-S02,5,0,1,23.518829,94.172784
AG-S02,6,0,1,23.327239,89.299577
AG-S02,7,0,1,23.727247,82.962671
AG-S02,8,0,1,22.551256,99.719464
AG-S02,9,0,1,24.005709,85.767915
AG-S02,10,0,1,24.228538,100.661148
AG-S02,11,0,1,24.554226,99.930420
AG-S03,-12,0,0,22.930128,94.461836
AG-S03,-11,0,0,22.475063,94.070898
AG-S03,-10,0,0,23.457794,88.994844
AG-S03,-9,0,0,22.528704,95.563322
AG-S03,-8,0,0,22.912152,90.779024
AG-S03,-7,0,0,22.486915,93.575937
AG-S03,-6,0,0,22.955835,89.994369
AG-S03,-5,0,0,22.732232,94.215451
AG-S03,-4,0,0,23.568268,92.023272
AG-S03,-3,0,0,23.179685,96.675189
AG-S03,-2,0,0,22.309095,93.268280
AG-S03,-1,0,0,24.206131,85.400134
AG-S03,0,0,1,23.086393,94.479482
AG-S03,1,0,1,23.765017,92.208382
AG-S03,2,0,1,23.382090,92.371972
AG-S03,3,0,1,23.487232,91.186407
AG-S03,4,0,1,23.562380,82.748896
AG-S03,5,0,1,22.597392,89.281559
AG-S03,6,0,1,23.343489,90.239290
AG-S03,7,0,1,23.720890,101.192574
AG-S03,8,0,1,21.860480,98.858910
AG-S03,9,0,1,23.441894,93.793703
AG-S03,10,0,1,23.588062,91.592576
AG-S03,11,0,1,23.137769,87.690165
AG-S04,-12,0,0,24.232461,88.224823
AG-S04,-11,0,0,23.140980,92.988163
AG-S04,-10,0,0,23.585590,93.763072
AG-S04,-9,0,0,23.912563,102.466860
AG-S04,-8,0,0,23.357277,90.054616
AG-S04,-7,0,0,22.361901,92.161082
AG-S04,-6,0,0,24.459227,96.189038
AG-S04,-5,0,0,25.255492,84.226048
AG-S04,-4,0,0,23.773314,91.929231
AG-S04,-3,0,0,24.793734,100.166467
AG-S04,-2,0,0,24.284116,101.883434
AG-S04,-1,0,0,24.416928,94.230991
AG-S04,0,0,1,23.861888,96.558387
AG-S04,1,0,1,23.773282,93.812358
AG-S04,2,0,1,24.452344,95.022669
AG-S04,3,0,1,23.110861,101.689602
AG-S04,4,0,1,24.293935,87.062077
AG-S04,5,0,1,24.193249,99.034559
AG-S04,6,0,1,24.734988,93.784493
AG-S04,7,0,1,25.314452,93.078607
AG-S04,8,0,1,25.641090,87.208240
AG-S04,9,0,1,24.304201,93.274695
AG-S04,10,0,1,25.174686,93.353720
AG-S04,11,0,1,24.181210,87.839252
AG-S05,-12,0,0,22.374814,93.655009
AG-S05,-11,0,0,23.119594,85.547611
AG-S05,-10,0,0,23.145098,82.652471
AG-S05,-9,0,0,23.451987,98.174618
AG-S05,-8,0,0,23.958000,104.107935
AG-S05,-7,0,0,26.055856,98.323214
AG-S05,-6,0,0,23.235343,88.966349
AG-S05,-5,0,0,23.633691,100.458782
AG-S05,-4,0,0,24.345794,97.642415
AG-S05,-3,0,0,23.120394,90.958747
AG-S05,-2,0,0,22.676094,91.389750
AG-S05,-1,0,0,24.079567,90.369417
AG-S05,0,0,1,25.156338,89.144748
AG-S05,1,0,1,23.256163,94.187096
AG-S05,2,0,1,24.553062,90.945147
AG-S05,3,0,1,23.520722,95.846407
AG-S05,4,0,1,24.165910,93.073148
AG-S05,5,0,1,24.073864,87.741737
AG-S05,6,0,1,24.499725,89.349251
AG-S05,7,0,1,23.462254,84.116681
AG-S05,8,0,1,24.537574,86.057966
AG-S05,9,0,1,24.769573,93.370514
AG-S05,10,0,1,24.728978,91.222677
AG-S05,11,0,1,24.651966,95.368819
AG-S06,-12,0,0,21.757977,88.557338
AG-S06,-11,0,0,23.519043,91.424772
AG-S06,-10,0,0,22.497602,96.048202
AG-S06,-9,0,0,22.055377,87.893907
AG-S06,-8,0,0,24.154508,91.719517
AG-S06,-7,0,0,22.386650,84.903168
AG-S06,-6,0,0,23.439985,90.524207
AG-S06,-5,0,0,23.020790,86.704033
AG-S06,-4,0,0,23.224377,95.354140
AG-S06,-3,0,0,23.410516,87.935763
AG-S06,-2,0,0,23.741799,91.698514
AG-S06,-1,0,0,23.510536,89.417228
AG-S06,0,0,1,24.277583,95.561941
AG-S06,1,0,1,24.292191,97.518678
AG-S06,2,0,1,23.294253,86.606208
AG-S06,3,0,1,22.879748,90.173609
AG-S06,4,0,1,23.348001,87.542592
AG-S06,5,0,1,23.393775,92.361689
AG-S06,6,0,1,23.513997,90.934649
AG-S06,7,0,1,23.270797,89.365306
AG-S06,8,0,1,22.948672,95.476305
AG-S06,9,0,1,24.908882,96.907251
AG-S06,10,0,1,23.761159,85.293361
AG-S06,11,0,1,23.659280,91.468478
AG-S07,-12,1,0,21.273170,84.627420
AG-S07,-11,1,0,22.004729,83.052341
AG-S07,-10,1,0,21.747032,99.037411
AG-S07,-9,1,0,21.420561,78.529373
AG-S07,-8,1,0,22.619504,88.811693
