customer_id,cohort,cohort_index,segment,design_partner,start_period
HX-C0001,2024-Q4,5,Scale-up,0,15
HX-C0002,2024-Q3,4,Enterprise,0,12
HX-C0003,2024-Q4,5,Scale-up,0,15
HX-C0004,2025-Q2,7,Scale-up,0,21
HX-C0005,2026-Q2,11,AI native,0,33
HX-C0006,2025-Q4,9,AI native,0,27
HX-C0007,2024-Q3,4,AI native,0,12
HX-C0008,2025-Q1,6,Enterprise,0,18
HX-C0009,2026-Q2,11,Scale-up,0,33
HX-C0010,2023-Q4,1,Enterprise,1,3
HX-C0011,2024-Q2,3,Enterprise,0,9
HX-C0012,2024-Q3,4,Research,0,12
HX-C0013,2024-Q3,4,Research,0,12
HX-C0014,2025-Q1,6,AI native,0,18
HX-C0015,2024-Q1,2,Scale-up,1,6
HX-C0016,2023-Q4,1,Scale-up,1,3
HX-C0017,2025-Q3,8,AI native,0,24
HX-C0018,2026-Q2,11,AI native,0,33
HX-C0019,2024-Q1,2,AI native,1,6
HX-C0020,2025-Q4,9,AI native,0,27
HX-C0021,2023-Q3,0,Scale-up,1,0
HX-C0022,2025-Q3,8,AI native,0,24
HX-C0023,2024-Q4,5,AI native,0,15
HX-C0024,2024-Q2,3,AI native,0,9
HX-C0025,2024-Q1,2,Scale-up,1,6
HX-C0026,2025-Q3,8,Enterprise,0,24
HX-C0027,2023-Q4,1,Enterprise,1,3
HX-C0028,2025-Q2,7,AI native,0,21
HX-C0029,2026-Q2,11,AI native,0,33
HX-C0030,2025-Q1,6,Research,0,18
HX-C0031,2025-Q2,7,AI native,0,21
HX-C0032,2026-Q1,10,Research,0,30
HX-C0033,2023-Q4,1,Scale-up,1,3
HX-C0034,2026-Q2,11,AI native,0,33
HX-C0035,2025-Q4,9,Enterprise,0,27
HX-C0036,2024-Q1,2,Scale-up,1,6
HX-C0037,2025-Q2,7,AI native,0,21
HX-C0038,2023-Q4,1,Enterprise,1,3
HX-C0039,2025-Q4,9,Enterprise,0,27
HX-C0040,2025-Q1,6,AI native,0,18
HX-C0041,2025-Q4,9,AI native,0,27
HX-C0042,2024-Q2,3,Research,0,9
HX-C0043,2026-Q1,10,Scale-up,0,30
HX-C0044,2025-Q3,8,AI native,0,24
HX-C0045,2025-Q1,6,AI native,0,18
HX-C0046,2023-Q4,1,Enterprise,1,3
HX-C0047,2026-Q2,11,Scale-up,0,33
HX-C0048,2024-Q4,5,Research,0,15
HX-C0049,2025-Q4,9,AI native,0,27
HX-C0050,2024-Q4,5,Research,0,15
HX-C0051,2025-Q1,6,Enterprise,0,18
HX-C0052,2026-Q2,11,AI native,0,33
HX-C0053,2025-Q3,8,Enterprise,0,24
HX-C0054,2024-Q4,5,Scale-up,0,15
HX-C0055,2024-Q3,4,Research,0,12
HX-C0056,2025-Q1,6,Enterprise,0,18
HX-C0057,2025-Q3,8,AI native,0,24
HX-C0058,2024-Q2,3,Scale-up,0,9
HX-C0059,2023-Q3,0,Scale-up,1,0
HX-C0060,2024-Q4,5,Scale-up,0,15
HX-C0061,2025-Q2,7,Scale-up,0,21
HX-C0062,2025-Q3,8,Scale-up,0,24
HX-C0063,2024-Q4,5,Scale-up,0,15
HX-C0064,2024-Q2,3,Research,0,9
HX-C0065,2024-Q1,2,AI native,1,6
HX-C0066,2024-Q3,4,Scale-up,0,12
HX-C0067,2025-Q1,6,Scale-up,0,18
HX-C0068,2024-Q2,3,Scale-up,0,9
HX-C0069,2026-Q2,11,AI native,0,33
HX-C0070,2023-Q4,1,AI native,1,3
HX-C0071,2023-Q3,0,Enterprise,1,0
HX-C0072,2026-Q2,11,Scale-up,0,33
HX-C0073,2024-Q4,5,Enterprise,0,15
HX-C0074,2025-Q2,7,Enterprise,0,21
HX-C0075,2023-Q3,0,AI native,1,0
