month,customer_id,cohort_index,design_partner,active,managed_spend_cents,take_rate_bps,platform_fee_cents,revenue_cents,compute_cost_cents,telemetry_cost_cents,support_cost_cents,cogs_cents
2024-11,HX-C0001,5,0,1,7903223,285,85000,310241,68984,17246,15218,101448
2024-12,HX-C0001,5,0,1,8163030,285,85000,317646,70156,17539,15476,103171
2025-01,HX-C0001,5,0,1,8279539,285,85000,320966,70409,17602,15532,103543
2025-02,HX-C0001,5,0,1,8353287,285,85000,323068,70386,17596,15528,103510
2025-03,HX-C0001,5,0,1,8727467,285,85000,333732,72211,18052,15930,106193
2025-04,HX-C0001,5,0,1,8947563,285,85000,340005,73059,18264,16118,107441
2025-05,HX-C0001,5,0,1,9118299,285,85000,344871,73589,18397,16234,108220
2025-06,HX-C0001,5,0,1,9209727,285,85000,347477,73625,18406,16242,108273
2025-07,HX-C0001,5,0,1,9607367,285,85000,358809,75490,18872,16653,111015
2025-08,HX-C0001,5,0,1,9905320,285,85000,367301,76727,19181,16926,112834
2025-09,HX-C0001,5,0,1,10186048,285,85000,375302,77837,19459,17171,114467
2025-10,HX-C0001,5,0,1,10330216,285,85000,379411,78121,19530,17234,114885
2025-11,HX-C0001,5,0,1,10473772,285,85000,383502,78390,19597,17293,115280
2025-12,HX-C0001,5,0,1,10715596,285,85000,390394,79215,19803,17475,116493
2026-01,HX-C0001,5,0,1,11117200,285,85000,401840,80937,20234,17854,119025
2026-02,HX-C0001,5,0,1,11392746,285,85000,409693,81905,20476,18068,120449
2026-03,HX-C0001,5,0,1,11730796,285,85000,419327,83204,20801,18354,122359
2026-04,HX-C0001,5,0,1,11813891,285,85000,421695,83042,20760,18320,122122
2026-05,HX-C0001,5,0,1,12145840,285,85000,431156,84261,21065,18588,123914
2026-06,HX-C0001,5,0,1,12404126,285,85000,438517,85044,21261,18760,125065
2026-07,HX-C0001,5,0,1,12531116,285,85000,442136,85084,21271,18769,125124
2024-08,HX-C0002,4,0,1,16753556,235,85000,478708,108593,27148,23955,159696
2024-09,HX-C0002,4,0,1,17075086,235,85000,486264,109579,27394,24174,161147
2024-10,HX-C0002,4,0,1,17558876,235,85000,497633,111397,27849,24574,163820
2024-11,HX-C0002,4,0,1,18227913,235,85000,513355,114149,28537,25181,167867
2024-12,HX-C0002,4,0,1,18790626,235,85000,526579,116301,29075,25656,171032
2025-01,HX-C0002,4,0,1,19296576,235,85000,538469,118122,29530,26058,173710
2025-02,HX-C0002,4,0,1,19716199,235,85000,548330,119465,29866,26353,175684
2025-03,HX-C0002,4,0,1,19870733,235,85000,551962,119431,29857,26346,175634
2025-04,HX-C0002,4,0,1,20507353,235,85000,566922,121819,30454,26874,179147
2025-05,HX-C0002,4,0,1,20948169,235,85000,577281,123182,30795,27173,181150
2025-06,HX-C0002,4,0,1,21627941,235,85000,593256,125703,31425,27730,184858
