respondent_id,tier,adopted,annual_ai_spend_cents
HX-S1-001,1,0,241700661
HX-S1-002,1,1,236434360
HX-S1-003,1,1,243868551
HX-S1-004,1,1,244259954
HX-S1-005,1,0,238449296
HX-S1-006,1,1,244057731
HX-S1-007,1,0,245772561
HX-S1-008,1,1,233809769
HX-S1-009,1,1,238944228
HX-S1-010,1,0,239400667
HX-S1-011,1,1,234964635
HX-S1-012,1,0,239002937
HX-S1-013,1,1,237929925
HX-S1-014,1,0,234446619
HX-S1-015,1,1,237276350
HX-S1-016,1,1,240880507
HX-S1-017,1,1,246021108
HX-S1-018,1,0,240193346
HX-S1-019,1,1,245401446
HX-S1-020,1,0,237777076
HX-S1-021,1,1,234803086
HX-S1-022,1,0,236806656
HX-S1-023,1,1,245706383
HX-S1-024,1,0,241535340
HX-S1-025,1,1,237427406
HX-S1-026,1,1,242650687
HX-S1-027,1,1,239202735
HX-S1-028,1,1,237273602
HX-S1-029,1,0,239925965
HX-S1-030,1,1,237362179
HX-S1-031,1,1,235206364
HX-S1-032,1,1,239592145
HX-S1-033,1,0,240021027
HX-S1-034,1,1,243517173
HX-S1-035,1,1,244340012
HX-S1-036,1,1,240832877
HX-S1-037,1,0,234575899
HX-S1-038,1,1,245068075
HX-S1-039,1,1,237887736
HX-S1-040,1,0,240339737
HX-S1-041,1,1,237693336
HX-S1-042,1,0,234945592
HX-S1-043,1,1,238106307
HX-S1-044,1,0,242053161
HX-S1-045,1,1,238507587
HX-S1-046,1,1,249236496
HX-S1-047,1,1,232066632
HX-S1-048,1,1,239572301
HX-S1-049,1,1,233418428
HX-S1-050,1,0,247432070
HX-S1-051,1,0,238900769
HX-S1-052,1,1,237511128
HX-S1-053,1,1,238193071
HX-S1-054,1,1,249443171
HX-S1-055,1,0,242633536
HX-S1-056,1,0,240098006
HX-S1-057,1,0,240912678
HX-S1-058,1,1,243361508
HX-S1-059,1,0,247597241
HX-S1-060,1,1,247093215
HX-S1-061,1,1,245400180
HX-S1-062,1,1,225866971
HX-S1-063,1,0,235314821
HX-S1-064,1,0,248044492
HX-S1-065,1,1,240708296
HX-S1-066,1,1,238050574
HX-S1-067,1,0,244749163
