month,revenue_cents,cogs_cents,gross_profit_cents,opex_cents,sales_marketing_cents,new_customers,net_burn_cents,ending_cash_cents
2023-08,29217415,10518253,18699162,415306123,174428571,34,396606961,11625134098
2023-09,29417353,10525513,18891840,415142679,174359925,0,396250839,11228883259
2023-10,29277236,10410969,18866267,418584307,175805408,0,399718040,10829165219
2023-11,61400368,21698854,39701514,409399748,171947894,39,369698234,10459466985
2023-12,62138933,21823160,40315773,418349853,175706938,0,378034080,10081432905
2024-01,64235954,22418313,41817641,425050011,178521004,0,383232370,9698200535
2024-02,101970238,35363218,66607020,419736271,176289233,44,353129251,9345071284
2024-03,105193879,36249758,68944121,431184805,181097618,0,362240684,8982830600
2024-04,108477054,37142489,71334565,434180243,182355702,0,362845678,8619984922
2024-05,141700813,48206540,93494273,439409454,184551970,38,345915181,8274069741
2024-06,145957109,49333423,96623686,450697431,189292921,0,354073745,7919995996
2024-07,150153335,50421418,99731917,446211660,187408897,0,346479743,7573516253
2024-08,183256362,61134227,122122135,451193838,189501411,40,329071703,7244444550
2024-09,185223947,61383123,123840824,450958959,189402762,0,327118135,6917326415
2024-10,189887858,62510990,127376868,462458898,194232737,0,335082030,6582244385
2024-11,215312932,70407218,144905714,460459126,193392832,36,315553412,6266690973
2024-12,222125630,72146297,149979333,463233800,194558196,0,313254467,5953436506
2025-01,226191696,72969329,153222367,462663897,194318836,0,309441530,5643994976
2025-02,261275714,83712609,177563105,469035358,196994850,45,291472253,5352522723
2025-03,267408460,85089248,182319212,482102542,202483067,0,299783330,5052739393
2025-04,275623637,87096940,188526697,476164297,199989004,0,287637600,4765101793
2025-05,315864013,99117976,216746037,477352858,200488200,43,260606821,4504494972
2025-06,323920510,100933488,222987022,483410640,203032468,0,260423618,4244071354
2025-07,332133220,102761872,229371348,478889249,201133484,0,249517901,3994553453
2025-08,368262914,113130194,255132720,488007253,204963046,36,232874533,3761678920
2025-09,375834855,114629475,261205380,498217274,209251255,0,237011894,3524667026
2025-10,384098422,116304837,267793585,495063150,207926523,0,227269565,3297397461
2025-11,427464989,128495801,298969188,504628104,211943803,43,205658916,3091738545
2025-12,436794045,130339170,306454875,495135940,207957094,0,188681065,2903057480
2026-01,448637525,132886262,315751263,504666922,211960107,0,188915659,2714141821
2026-02,490313572,144151990,346161582,515336675,216441403,36,169175093,2544966728
2026-03,503424509,146899084,356525425,520215847,218490655,0,163690422,2381276306
2026-04,513913191,148829075,365084116,516098495,216761367,0,151014379,2230261927
2026-05,568536516,163397178,405139338,522298676,219365443,46,117159338,2113102589
2026-06,580296803,165500445,414796358,524690079,220369833,0,109893721,2003208868
2026-07,597501048,169092593,428408455,531617323,223279275,0,103208868,1900000000
