customer_id,treatment,baseline_log_cost,outcome_log_cost_change,assignment_mechanism,assignment_proposal,balance_smd_threshold,maximum_assignment_proposals,assignment_acceptance_uses_outcomes,assignment_seed_commitment
HX-X001,1,-0.061037,-0.153710,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X002,1,0.189343,-0.002526,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X003,0,0.007725,-0.157935,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X004,1,0.054873,-0.078175,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X005,0,-0.041500,0.014887,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X006,0,-0.160106,-0.138004,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X007,0,0.054429,-0.007586,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X008,1,-0.073310,-0.110243,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X009,0,-0.029518,0.007731,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X010,1,0.228911,-0.046539,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X011,0,-0.227552,-0.031806,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X012,0,-0.042455,0.061137,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X013,1,-0.039094,-0.120905,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X014,0,0.228606,-0.020660,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X015,0,-0.002218,-0.010263,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X016,0,0.112538,0.050334,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
