opportunity_id,reported_stage,amount_cents
HX-O0001,6,4180440
HX-O0002,6,1532015
HX-O0003,4,6314646
HX-O0004,2,8344811
HX-O0005,6,1784795
HX-O0006,5,10572367
HX-O0007,2,8208043
HX-O0008,5,2545496
HX-O0009,4,5333661
HX-O0010,5,4531027
HX-O0011,2,4151445
HX-O0012,5,992636
HX-O0013,4,2455617
HX-O0014,6,4840351
HX-O0015,4,3799036
HX-O0016,3,2720939
HX-O0017,4,2418816
HX-O0018,6,2166437
HX-O0019,3,24802523
HX-O0020,5,1939035
HX-O0021,6,4046481
HX-O0022,3,3119413
HX-O0023,4,3571891
HX-O0024,3,1946842
HX-O0025,4,4126017
HX-O0026,4,4726576
HX-O0027,2,7738873
HX-O0028,3,987197
HX-O0029,4,2506540
HX-O0030,3,3549157
HX-O0031,4,6198754
HX-O0032,5,2120023
HX-O0033,4,4264450
HX-O0034,2,3345994
HX-O0035,5,3045019
HX-O0036,4,5024230
HX-O0037,5,6618239
HX-O0038,6,7584186
HX-O0039,3,3816829
HX-O0040,4,4682172
HX-O0041,2,8720600
HX-O0042,4,9054012
HX-O0043,6,3222359
HX-O0044,5,2374507
HX-O0045,3,2721382
HX-O0046,3,3654767
HX-O0047,6,2050834
HX-O0048,3,2520819
HX-O0049,5,5658286
HX-O0050,5,665824
HX-O0051,1,3629725
HX-O0052,5,2221323
HX-O0053,5,1397818
HX-O0054,4,1673994
HX-O0055,5,2576095
HX-O0056,2,1911081
HX-O0057,4,2182418
HX-O0058,5,6052349
HX-O0059,2,7785698
HX-O0060,2,3148278
HX-O0061,2,2522903
HX-O0062,1,1208336
HX-O0063,3,5718985
HX-O0064,3,2808156
HX-O0065,3,8519988
HX-O0066,5,4675452
HX-O0067,2,2517275
HX-O0068,1,4372356
HX-O0069,3,4018849
HX-O0070,5,3914525
HX-O0071,2,4453939
HX-O0072,1,6530480
HX-O0073,4,6403631
HX-O0074,3,1174456
HX-O0075,4,1794351
HX-O0076,4,1687482
HX-O0077,3,1858628
HX-O0078,3,7839740
HX-O0079,1,4191169
HX-O0080,2,4426796
HX-O0081,1,1751953
HX-O0082,4,5661896
HX-O0083,2,1347368
HX-O0084,2,4182038
HX-O0085,3,5598410
HX-O0086,5,6959021
HX-O0087,4,4336948
HX-O0088,2,5239541
HX-O0089,2,3547402
HX-O0090,4,10041729
HX-O0091,1,5995369
HX-O0092,4,2930429
HX-O0093,2,4209888
HX-O0094,2,4025786
HX-O0095,4,4369505
HX-O0096,4,3561943
HX-O0097,5,3081347
HX-O0098,3,2630641
HX-O0099,3,6886084
HX-O0100,3,4641491
HX-O0101,3,2772545
HX-O0102,2,8838882
HX-O0103,2,2648794
HX-O0104,3,5301286
HX-O0105,5,4778129
HX-O0106,2,2358647
HX-O0107,5,992699
HX-O0108,4,5079303
HX-O0109,4,11944064
HX-O0110,4,3735157
HX-O0111,5,13826157
HX-O0112,5,7617747
HX-O0113,1,7491505
HX-O0114,3,2827872
HX-O0115,1,1954446
HX-O0116,1,4358538
HX-O0117,1,2248115
HX-O0118,2,5352550
HX-O0119,2,6309167
HX-O0120,2,8189407
HX-O0121,4,738984
HX-O0122,4,4711767
HX-O0123,4,3267213
HX-O0124,5,2051596
HX-O0125,1,1091527
HX-O0126,4,3710668
HX-O0127,1,4490493
HX-O0128,5,3431392
HX-O0129,5,2850537
HX-O0130,1,7205295
HX-O0131,3,3239417
HX-O0132,2,1310216
HX-O0133,2,1573679
HX-O0134,4,3434200
HX-O0135,3,3171576
HX-O0136,3,4767263
HX-O0137,1,4184158
HX-O0138,1,448936
HX-O0139,2,7826862
HX-O0140,5,3261140
HX-O0141,5,6222606
HX-O0142,3,14385710
HX-O0143,2,6325907
HX-O0144,3,9094155
HX-O0145,2,3592476
HX-O0146,2,4614540
HX-O0147,1,10935531
HX-O0148,3,7760724
HX-O0149,3,5697339
HX-O0150,4,608808
HX-O0151,5,3875758
HX-O0152,4,2973367
HX-O0153,5,3887340
HX-O0154,3,2432320
HX-O0155,1,5363378
HX-O0156,3,6784541
HX-O0157,1,11125125
HX-O0158,3,2869024
HX-O0159,3,8498813
HX-O0160,5,5978422
HX-O0161,2,9196162
HX-O0162,4,700207
HX-O0163,1,7992561
HX-O0164,5,1368212
HX-O0165,1,2796015
HX-O0166,1,3600245
HX-O0167,3,1570487
HX-O0168,1,3435689
HX-O0169,5,4523274
HX-O0170,5,4679871
HX-O0171,1,3368157
HX-O0172,5,13526292
HX-O0173,1,3643600
HX-O0174,1,3925841
HX-O0175,4,9064143
HX-O0176,4,3345741
HX-O0177,3,1924657
HX-O0178,5,3530737
HX-O0179,1,1646639
HX-O0180,2,3549123
HX-O0181,5,3042490
HX-O0182,5,11005673
HX-O0183,5,7493133
HX-O0184,1,7245789
HX-O0185,2,1301777
HX-O0186,4,2525627
HX-O0187,2,3278437
HX-O0188,1,2416735
HX-O0189,1,7615254
HX-O0190,4,6221232
HX-O0191,5,6918076
HX-O0192,1,5531195
HX-O0193,4,1978419
HX-O0194,3,8437104
HX-O0195,5,5184847
HX-O0196,3,2317333
HX-O0197,3,3628521
HX-O0198,5,4445982
HX-O0199,4,1142658
HX-O0200,5,6254186
HX-O0201,5,3082818
HX-O0202,5,2623827
HX-O0203,3,1751945
HX-O0204,2,1544358
HX-O0205,3,4055187
HX-O0206,3,4441029
HX-O0207,4,1215198
HX-O0208,2,3156759
HX-O0209,3,3905923
HX-O0210,1,3461846
HX-O0211,4,2206765
HX-O0212,1,2844617
HX-O0213,2,1992273
HX-O0214,1,4687254
HX-O0215,2,2183659
HX-O0216,3,2617933
HX-O0217,3,4415886
HX-O0218,1,4144042
HX-O0219,1,9543720
HX-O0220,4,3294923
HX-O0221,1,7245799
HX-O0222,3,1095458
HX-O0223,2,2906279
HX-O0224,3,14541278
HX-O0225,1,1018623
HX-O0226,3,3064609
HX-O0227,5,2314755
HX-O0228,1,3150833
HX-O0229,3,2321007
HX-O0230,2,1345551
HX-O0231,4,2128060
HX-O0232,2,3253617
HX-O0233,1,5670205
HX-O0234,2,1044518
HX-O0235,3,10221759
HX-O0236,3,2236208
HX-O0237,3,3727217
HX-O0238,5,4781158
HX-O0239,5,3577405
HX-O0240,5,1225918
HX-O0241,3,2783685
HX-O0242,1,2933786
HX-O0243,3,2048651
HX-O0244,5,5829415
HX-O0245,5,1987179
HX-O0246,1,10092019
HX-O0247,3,3007559
HX-O0248,2,3254863
HX-O0249,2,5807989
HX-O0250,4,3477920
HX-O0251,5,8207468
HX-O0252,1,3293328
HX-O0253,5,5442647
HX-O0254,2,3221191
HX-O0255,1,999402
HX-O0256,4,3458512
HX-O0257,5,4268940
HX-O0258,4,3569364
HX-O0259,3,4637900
HX-O0260,5,2768651
HX-O0261,1,4978514
HX-O0262,3,6064744
HX-O0263,2,5774080
HX-O0264,5,7820252
HX-O0265,4,9488966
HX-O0266,3,5824564
HX-O0267,3,4013308
HX-O0268,2,3119815
HX-O0269,4,2300797
HX-O0270,1,1981094
HX-O0271,5,10370614
HX-O0272,3,9177806
HX-O0273,3,12243407
HX-O0274,1,3391851
HX-O0275,4,2033179
HX-O0276,4,2894882
HX-O0277,5,5140539
HX-O0278,3,4602178
HX-O0279,5,6022310
HX-O0280,3,1493972
HX-O0281,4,7412659
HX-O0282,5,3831981
HX-O0283,1,3492137
HX-O0284,1,4288261
HX-O0285,1,7074552
HX-O0286,5,2515159
HX-O0287,1,1992165
HX-O0288,1,2955082
HX-O0289,4,2532452
HX-O0290,1,6402781
HX-O0291,2,5187510
HX-O0292,3,1773059
HX-O0293,5,4734458
HX-O0294,5,4668757
HX-O0295,4,4612480
HX-O0296,1,10707872
HX-O0297,1,1011433
HX-O0298,1,2946255
HX-O0299,2,3590603
HX-O0300,4,5012485
HX-O0301,4,3660523
HX-O0302,2,3306402
HX-O0303,4,6575684
HX-O0304,5,2137027
HX-O0305,2,1994730
HX-O0306,3,4816296
HX-O0307,5,2593689
HX-O0308,3,2088047
HX-O0309,2,3058577
HX-O0310,5,1425877
HX-O0311,4,2715018
HX-O0312,3,6421737
HX-O0313,3,5227034
HX-O0314,3,6185975
HX-O0315,5,9678146
HX-O0316,3,4151190
HX-O0317,5,1685202
HX-O0318,1,1474208
HX-O0319,2,1844730
HX-O0320,5,1732756
