opportunity_id,observation_index,stage
HX-O0001,1,1
HX-O0001,2,1
HX-O0001,3,1
HX-O0001,4,1
HX-O0001,5,2
HX-O0001,6,2
HX-O0001,7,2
HX-O0001,8,2
HX-O0001,9,3
HX-O0001,10,3
HX-O0001,11,3
HX-O0001,12,4
HX-O0001,13,4
HX-O0001,14,4
HX-O0001,15,4
HX-O0001,16,5
HX-O0001,17,5
HX-O0001,18,5
HX-O0002,1,1
HX-O0002,2,1
HX-O0002,3,1
HX-O0002,4,1
HX-O0002,5,2
HX-O0002,6,2
HX-O0002,7,2
HX-O0002,8,2
HX-O0002,9,3
HX-O0002,10,3
HX-O0002,11,3
HX-O0002,12,4
HX-O0002,13,4
HX-O0002,14,4
HX-O0002,15,4
HX-O0002,16,5
HX-O0002,17,5
HX-O0002,18,5
HX-O0003,1,1
HX-O0003,2,1
HX-O0003,3,1
HX-O0003,4,1
HX-O0003,5,1
HX-O0003,6,1
HX-O0003,7,2
HX-O0003,8,2
HX-O0003,9,2
HX-O0003,10,2
HX-O0003,11,2
HX-O0003,12,2
HX-O0003,13,3
HX-O0003,14,3
HX-O0003,15,3
HX-O0003,16,3
HX-O0003,17,3
HX-O0003,18,3
HX-O0004,1,1
HX-O0004,2,1
HX-O0004,3,1
HX-O0004,4,1
HX-O0004,5,1
HX-O0004,6,1
HX-O0004,7,1
HX-O0004,8,1
HX-O0004,9,1
HX-O0004,10,1
HX-O0004,11,1
HX-O0004,12,1
HX-O0004,13,1
HX-O0004,14,1
HX-O0004,15,1
HX-O0004,16,1
HX-O0004,17,1
HX-O0004,18,1
HX-O0005,1,1
HX-O0005,2,1
HX-O0005,3,1
HX-O0005,4,1
HX-O0005,5,2
HX-O0005,6,2
HX-O0005,7,2
HX-O0005,8,2
HX-O0005,9,3
HX-O0005,10,3
HX-O0005,11,3
HX-O0005,12,4
HX-O0005,13,4
HX-O0005,14,4
HX-O0005,15,4
HX-O0005,16,5
HX-O0005,17,5
HX-O0005,18,5
HX-O0006,1,1
HX-O0006,2,1
HX-O0006,3,1
HX-O0006,4,1
HX-O0006,5,1
HX-O0006,6,2
HX-O0006,7,2
HX-O0006,8,2
HX-O0006,9,2
HX-O0006,10,3
HX-O0006,11,3
HX-O0006,12,3
HX-O0006,13,3
HX-O0006,14,3
HX-O0006,15,4
HX-O0006,16,4
HX-O0006,17,4
HX-O0006,18,4
HX-O0007,1,1
HX-O0007,2,1
HX-O0007,3,1
HX-O0007,4,1
HX-O0007,5,1
HX-O0007,6,1
HX-O0007,7,1
HX-O0007,8,1
HX-O0007,9,1
HX-O0007,10,1
HX-O0007,11,1
HX-O0007,12,1
HX-O0007,13,1
HX-O0007,14,1
HX-O0007,15,1
HX-O0007,16,1
HX-O0007,17,1
HX-O0007,18,1
HX-O0008,1,1
HX-O0008,2,1
HX-O0008,3,1
HX-O0008,4,1
HX-O0008,5,1
HX-O0008,6,2
HX-O0008,7,2
HX-O0008,8,2
HX-O0008,9,2
HX-O0008,10,3
HX-O0008,11,3
HX-O0008,12,3
HX-O0008,13,3
HX-O0008,14,3
HX-O0008,15,4
HX-O0008,16,4
HX-O0008,17,4
HX-O0008,18,4
HX-O0009,1,1
HX-O0009,2,1
HX-O0009,3,1
HX-O0009,4,1
