period,revenue_cents,cost_of_revenue_cents,operating_expense_cents
2025-06,100000000,30000000,104000000
2025-07,105000000,31500000,105000000
2025-08,110000000,33000000,107000000
2025-09,115000000,34500000,109000000
2025-10,120000000,36000000,111000000
2025-11,125000000,37500000,114000000
2025-12,130000000,39000000,117000000
2026-01,135000000,40500000,120000000
2026-02,140000000,42000000,123000000
2026-03,145000000,43500000,126000000
2026-04,150000000,45000000,129000000
2026-05,155000000,46500000,132000000
2026-06,160000000,48000000,135000000
